scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
5var-skill,CE,individualized,0.9,0.01,0.0,1.0,0.0,,,0.76,0.27,0.39,0.28
5var-skill,CE,individualized,0.95,0.0,0.0,1.0,0.0,,,0.68,0.25,10.8,0.29
5var-skill,CR,individualized,0.75,0.0,0.0,1.0,0.0,,,0.85,0.17,0.46,0.31
5var-skill,CR,individualized,0.85,0.0,0.0,1.0,0.0,,,0.71,0.19,0.43,0.28
5var-skill,CR,individualized,0.9,0.01,0.01,1.0,0.0,,,0.76,0.27,0.39,0.29
5var-skill,CR,individualized,0.95,0.01,0.01,1.0,0.0,,,0.67,0.25,0.39,0.3
5var-skill,CR,subpopulation,0.75,0.0,0.0,1.0,0.0,,,0.84,0.17,0.46,0.31
5var-skill,CR,subpopulation,0.85,0.0,0.0,1.0,0.0,,,0.7,0.19,0.42,0.29
5var-skill,CR,subpopulation,0.9,0.01,0.01,1.0,0.0,,,0.77,0.26,0.39,0.29
5var-skill,CR,subpopulation,0.95,0.01,0.01,1.0,0.0,,,0.68,0.24,11.16,0.31
5var-skill,ICR,individualized,0.75,0.92,0.01,0.92,0.03,0.92,0.01,0.91,0.02,9.58,0.22
5var-skill,ICR,individualized,0.85,0.94,0.02,0.92,0.04,0.94,0.02,0.92,0.02,9.7,0.21
5var-skill,ICR,individualized,0.9,0.97,0.01,0.97,0.01,0.97,0.01,0.97,0.01,10.58,0.34
5var-skill,ICR,individualized,0.95,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.39,0.29
5var-skill,ICR,subpopulation,0.75,0.92,0.02,0.91,0.02,,,0.9,0.02,9.34,0.35
5var-skill,ICR,subpopulation,0.85,0.94,0.02,0.92,0.03,,,0.92,0.02,9.75,0.22
5var-skill,ICR,subpopulation,0.9,0.97,0.01,0.97,0.01,,,0.97,0.01,10.51,0.26
5var-skill,ICR,subpopulation,0.95,0.98,0.01,0.98,0.01,,,0.98,0.01,0.39,0.29
7var-covid,CE,individualized,0.75,0.01,0.03,1.0,0.0,,,0.65,0.21,0.63,0.15
7var-covid,CE,individualized,0.85,0.03,0.06,1.0,0.0,,,0.75,0.11,0.66,0.2
7var-covid,CE,individualized,0.9,0.02,0.04,1.0,0.0,,,0.73,0.17,1.43,0.04
7var-covid,CE,individualized,0.95,0.05,0.07,1.0,0.0,,,0.62,0.24,0.72,0.21
7var-covid,CR,individualized,0.75,0.04,0.11,0.99,0.03,,,0.67,0.18,0.63,0.16
7var-covid,CR,individualized,0.85,0.02,0.04,1.0,0.0,,,0.75,0.11,0.64,0.2
7var-covid,CR,individualized,0.9,0.02,0.04,1.0,0.0,,,0.72,0.18,0.69,0.2
7var-covid,CR,individualized,0.95,0.05,0.06,1.0,0.0,,,0.61,0.24,0.72,0.21
7var-covid,CR,subpopulation,0.75,0.02,0.04,1.0,0.0,,,0.64,0.21,0.62,0.15
7var-covid,CR,subpopulation,0.85,0.03,0.05,1.0,0.0,,,0.75,0.11,0.64,0.2
7var-covid,CR,subpopulation,0.9,0.02,0.04,1.0,0.0,,,0.72,0.17,1.62,0.04
7var-covid,CR,subpopulation,0.95,0.06,0.07,1.0,0.0,,,0.61,0.24,0.72,0.21
7var-covid,ICR,individualized,0.75,0.79,0.03,0.78,0.06,0.79,0.03,0.78,0.04,1.25,0.05
7var-covid,ICR,individualized,0.85,0.87,0.01,0.85,0.04,0.87,0.01,0.86,0.01,1.45,0.06
7var-covid,ICR,individualized,0.9,0.89,0.03,0.88,0.03,0.89,0.03,0.89,0.03,0.69,0.19
7var-covid,ICR,individualized,0.95,0.96,0.01,0.93,0.05,0.96,0.01,0.95,0.01,1.99,0.04
7var-covid,ICR,subpopulation,0.75,0.59,0.03,0.58,0.05,,,0.58,0.04,1.05,0.05
7var-covid,ICR,subpopulation,0.85,0.74,0.02,0.72,0.05,,,0.73,0.02,1.3,0.04
7var-covid,ICR,subpopulation,0.9,0.83,0.03,0.81,0.04,,,0.82,0.03,0.69,0.2
7var-covid,ICR,subpopulation,0.95,0.9,0.02,0.88,0.06,,,0.9,0.02,1.73,0.06
