scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
7var-covid,CR,individualized,0.75,0.0,0.0,1.0,0.0,,,0.99,0.0,1.0,0.06
7var-covid,CR,individualized,0.85,0.0,0.0,1.0,0.0,,,1.0,0.0,0.55,0.02
7var-covid,CR,individualized,0.9,0.0,0.0,1.0,0.0,,,0.99,0.0,0.49,0.11
7var-covid,CR,individualized,0.95,0.0,0.0,1.0,0.0,,,0.98,0.02,0.56,0.02
7var-covid,CR,subpopulation,0.75,0.01,0.0,0.86,0.01,,,0.86,0.01,1.25,0.06
7var-covid,CR,subpopulation,0.85,0.02,0.01,0.94,0.01,,,0.94,0.01,0.51,0.02
7var-covid,CR,subpopulation,0.9,0.0,0.0,0.98,0.01,,,0.98,0.01,0.48,0.13
7var-covid,CR,subpopulation,0.95,0.0,0.0,1.0,0.01,,,0.97,0.02,0.57,0.02
7var-covid,MCR,individualized,0.75,0.81,0.02,0.81,0.02,0.82,0.02,0.81,0.02,0.56,0.01
7var-covid,MCR,individualized,0.85,0.81,0.01,0.81,0.01,0.84,0.0,0.81,0.01,1.44,0.03
7var-covid,MCR,individualized,0.9,0.9,0.03,0.9,0.03,0.91,0.03,0.9,0.03,1.66,0.02
7var-covid,MCR,individualized,0.95,0.96,0.01,0.96,0.01,0.97,0.01,0.96,0.01,1.99,0.02
7var-covid,MCR,subpopulation,0.75,0.59,0.01,0.59,0.01,,,0.59,0.01,0.5,0.02
7var-covid,MCR,subpopulation,0.85,0.76,0.02,0.76,0.03,,,0.76,0.02,1.25,0.03
7var-covid,MCR,subpopulation,0.9,0.81,0.02,0.81,0.02,,,0.81,0.02,1.46,0.02
7var-covid,MCR,subpopulation,0.95,0.91,0.01,0.91,0.01,,,0.91,0.01,1.74,0.03
